id,zone,dept,image_type,image_file,before_file,status,submitted_at
c83c3e76,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181516.jpg,172.13042026181516.jpg,approved,15-04-2026 14:35:43
ed6d6518,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181504.jpg,172.13042026181504.jpg,approved,15-04-2026 14:35:44
a9bd13de,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181416.jpg,172.13042026181416.jpg,approved,15-04-2026 14:35:48
a2cfea96,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181404.jpg,172.13042026181404.jpg,approved,15-04-2026 14:35:49
2fdd1513,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181316.jpg,172.13042026181316.jpg,approved,15-04-2026 14:35:52
16fa44c0,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181304.jpg,172.13042026181304.jpg,approved,15-04-2026 14:35:54
11549c78,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181216.jpg,172.13042026181216.jpg,approved,15-04-2026 14:35:56
10dbea69,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181204.jpg,172.13042026181204.jpg,approved,15-04-2026 14:35:58
5d44f52c,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181116.jpg,172.13042026181116.jpg,approved,15-04-2026 14:36:00
40247445,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181104.jpg,172.13042026181104.jpg,approved,15-04-2026 14:36:01
0160ef59,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181016.jpg,172.13042026181016.jpg,approved,15-04-2026 14:36:04
fa1a5b2b,DIC Steel,"LCP1,2,3,4&5",before,172.13042026181004.jpg,172.13042026181004.jpg,approved,15-04-2026 14:36:05
fd6f3d32,DIC Steel,"LCP1,2,3,4&5",before,172.13042026180916.jpg,172.13042026180916.jpg,approved,15-04-2026 14:36:07
ee35a0d1,DIC Steel,"LCP1,2,3,4&5",before,172.13042026180904.jpg,172.13042026180904.jpg,approved,15-04-2026 14:36:08
d98faa8c,DIC Steel,SMS4,after,108.1.03042026170018.jpg,108.03042026170018.jpg,approved,16-04-2026 16:16:44
95891f48,DIC Steel,SMS4,before,108.03042026170018.jpg,108.03042026170018.jpg,approved,16-04-2026 16:16:50
0a425aea,DIC Steel,SMS4,after,108.1.03042026165501.jpg,108.03042026165501.jpg,approved,16-04-2026 16:16:55
88ed10e0,DIC Steel,SMS4,before,108.03042026165501.jpg,108.03042026165501.jpg,approved,16-04-2026 16:16:56
1a31058b,DIC Steel,DRI,after,1.1.06032026131547.jpg,1.06032026131547.jpg,approved,17-04-2026 12:14:58
3635b182,DIC RMHS,RMHS 5MT & CSP,before,224.10042026171401.jpg,224.10042026171401.jpg,pending,20-04-2026 11:09:35
5800b395,DIC RMHS,RMHS 5MT & CSP,before,224.10042026171301.jpg,224.10042026171301.jpg,pending,20-04-2026 11:09:42
4393afb4,DIC RMHS,RMHS 5MT & CSP,before,224.10042026171141.jpg,224.10042026171141.jpg,approved,20-04-2026 11:09:45
55cd2208,DIC RMHS,RMHS 5MT & CSP,before,224.10042026171041.jpg,224.10042026171041.jpg,approved,20-04-2026 11:09:50
e973611a,DIC RMHS,RMHS 5MT & CSP,before,224.10042026170941.jpg,224.10042026170941.jpg,approved,20-04-2026 11:09:52
5fa7ad6c,DIC RMHS,RMHS 5MT & CSP,before,224.10042026170841.jpg,224.10042026170841.jpg,approved,20-04-2026 11:09:54
eb35409e,DIC Agglo,SP1,after,143.1.10042026181252.jpg,143.10042026181252.jpg,approved,20-04-2026 11:12:13
d46eabf2,DIC Agglo,SP1,after,143.1.10042026181000.jpg,143.10042026181000.jpg,approved,20-04-2026 11:12:22
86829c6d,DIC Agglo,SP1,after,143.1.10042026182000.jpg,143.10042026182000.jpg,approved,20-04-2026 11:13:48
c4320d22,DIC Utility,MSDS and Switch Yard & Utilities,before,1.22042026114711.jpg,1.22042026114711.jpg,pending,22-04-2026 16:03:53
6cf44aa2,DIC Utility,MSDS and Switch Yard & Utilities,after,1.1.22042026114711.jpg,1.22042026114711.jpg,pending,22-04-2026 16:03:56
4137a808,DIC Utility,MSDS and Switch Yard & Utilities,before,1.22042026114711.jpg,1.22042026114711.jpg,pending,22-04-2026 16:05:26
b54f7841,DIC Utility,MSDS and Switch Yard & Utilities,after,1.1.22042026114711.jpg,1.22042026114711.jpg,pending,22-04-2026 16:05:29
db3f1646,DIC Utility,MSDS and Switch Yard & Utilities,before,1.22042026114711.jpg,1.22042026114711.jpg,pending,23-04-2026 09:37:36
0db7845f,DIC Utility,MSDS and Switch Yard & Utilities,after,1.1.22042026114711.jpg,1.22042026114711.jpg,pending,23-04-2026 09:37:38
33874e85,DIC Mill,CRM2,after,14.1.26032026150529.jpg,14.26032026150529.jpg,pending,25-04-2026 11:08:10
d0876581,DIC Mill,CRM2,before,14.26032026150529.jpg,14.26032026150529.jpg,pending,25-04-2026 11:08:13
4c37bbb7,DIC Mill,CRM2,after,14.1.14032026121455.jpg,14.14032026121455.jpg,pending,25-04-2026 11:08:18
34a18eb6,DIC Mill,CRM2,before,14.14032026121455.jpg,14.14032026121455.jpg,pending,25-04-2026 11:08:19
3580e5a6,DIC RMHS,RMHS 5MT & CSP,after,185.1.12032026101549.jpg,185.12032026101549.jpg,pending,27-04-2026 15:56:22
d6100df8,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:20:32
57018f76,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:20:33
3ea0fdc2,DIC Mill,HSM-3,after,1.1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:29:32
2d2bccc2,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:23
83bab811,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:33
2706ed0a,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:33
fc3c7f0e,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:34
dd4172c5,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:34
5a0a297c,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:34
7a20bfc7,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:34
e86a09aa,DIC Mill,HSM-3,before,1.30042026161340.jpg,1.30042026161340.jpg,pending,08-05-2026 16:30:35
3b9dea5e,DIC Mill,HSM2 & CTL,before,164.07052026114825.jpg,164.07052026114825.jpg,pending,14-05-2026 15:04:11
e8783480,DIC Mill,HSM2 & CTL,after,164.1.07052026114825.jpg,164.07052026114825.jpg,pending,14-05-2026 15:04:13
086c7b5b,DIC Mill,HSM2 & CTL,before,164.07052026113521.jpg,164.07052026113521.jpg,pending,14-05-2026 15:04:24
f2e92a95,DIC Mill,HSM2 & CTL,after,164.1.07052026113521.jpg,164.07052026113521.jpg,pending,14-05-2026 15:04:26
a9d195fe,DIC Mill,HSM2 & CTL,before,164.07052026112741.jpg,164.07052026112741.jpg,pending,14-05-2026 15:05:31
84672a0f,DIC Mill,HSM2 & CTL,after,164.1.07052026112741.jpg,164.07052026112741.jpg,pending,14-05-2026 15:05:33
23c90edc,DIC Mill,HSM2 & CTL,after,164.1.07052026113039.jpg,164.07052026113039.jpg,pending,14-05-2026 15:05:34
2b45f8fd,DIC Mill,HSM2 & CTL,before,164.07052026113039.jpg,164.07052026113039.jpg,pending,14-05-2026 15:05:35
e8b86519,DIC Mill,HSM2 & CTL,after,164.1.07052026113154.jpg,164.07052026113154.jpg,pending,14-05-2026 15:05:40
d8afe36e,DIC Mill,HSM2 & CTL,before,164.07052026113154.jpg,164.07052026113154.jpg,pending,14-05-2026 15:05:45
0446f62e,DIC Mill,HSM2 & CTL,after,164.1.07052026114825.jpg,164.07052026114825.jpg,pending,14-05-2026 15:16:36
35f9369d,DIC Mill,WRM-2 & BRM-2,after,97.1.10042026174049.jpg,97.10042026174049.jpg,pending,15-05-2026 16:36:16
2eb273ec,DIC Mill,HSM-3,before,61.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:06:18
db6bebe6,DIC Mill,HSM-3,after,61.1.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:06:21
c3ac8737,DIC Mill,HSM-3,before,72.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 16:15:10
bbd48a84,DIC Mill,HSM-3,after,72.1.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 16:15:12
40eec509,DIC Mill,HSM-3,before,61.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:15:20
07d4c9bb,DIC Mill,HSM-3,after,61.1.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:15:21
6502643e,DIC Mill,HSM-3,before,88.18052026160750.jpg,88.18052026160750.jpg,pending,18-05-2026 16:18:24
11a6575d,DIC Mill,HSM-3,after,88.1.18052026160750.jpg,88.18052026160750.jpg,pending,18-05-2026 16:18:25
b883f3c2,DIC Mill,HSM-3,before,72.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 16:18:27
57beb754,DIC Mill,HSM-3,after,72.1.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 16:18:27
5853fb50,DIC Mill,HSM-3,before,61.18052026155915.jpg,61.18052026155915.jpg,pending,18-05-2026 16:18:29
98b1a79a,DIC Mill,HSM-3,after,61.1.18052026155915.jpg,61.18052026155915.jpg,pending,18-05-2026 16:18:30
0db14c30,DIC Mill,HSM-3,before,61.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:18:31
c3cacddd,DIC Mill,HSM-3,after,61.1.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:18:32
7ff635f9,DIC Mill,HSM-3,before,88.18052026161212.jpg,88.18052026161212.jpg,pending,18-05-2026 16:34:23
46e71984,DIC Mill,HSM-3,after,88.1.18052026161212.jpg,88.18052026161212.jpg,pending,18-05-2026 16:34:24
2cc97a45,DIC Mill,HSM-3,before,72.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 16:34:36
13a9be83,DIC Mill,HSM-3,after,72.1.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 16:34:37
3a36d295,DIC Mill,HSM-3,before,61.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:34:41
5063b4ac,DIC Mill,HSM-3,after,61.1.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 16:34:41
df777fe6,DIC Mill,HSM-3,before,99.18052026162017.jpg,99.18052026162017.jpg,pending,18-05-2026 16:39:21
ad640805,DIC Mill,HSM-3,after,99.1.18052026162017.jpg,99.18052026162017.jpg,pending,18-05-2026 16:39:24
240b4c19,DIC Mill,HSM-3,before,88.18052026161240.jpg,88.18052026161240.jpg,pending,18-05-2026 17:18:31
5ef6d774,DIC Mill,HSM-3,after,88.1.18052026161240.jpg,88.18052026161240.jpg,pending,18-05-2026 17:18:32
2582bdf9,DIC Mill,HSM-3,before,88.18052026161215.jpg,88.18052026161215.jpg,pending,18-05-2026 17:18:34
3129f3ab,DIC Mill,HSM-3,after,88.1.18052026161215.jpg,88.18052026161215.jpg,pending,18-05-2026 17:18:35
5de572c4,DIC Mill,HSM-3,before,88.18052026161212.jpg,88.18052026161212.jpg,pending,18-05-2026 17:18:37
d9a1246f,DIC Mill,HSM-3,after,88.1.18052026161212.jpg,88.18052026161212.jpg,pending,18-05-2026 17:18:38
9507bd10,DIC Mill,HSM-3,before,72.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 17:18:45
84b49776,DIC Mill,HSM-3,after,72.1.18052026160103.jpg,72.18052026160103.jpg,pending,18-05-2026 17:18:48
ae39106b,DIC Mill,HSM-3,before,61.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 17:18:53
70183fcc,DIC Mill,HSM-3,after,61.1.18052026155910.jpg,61.18052026155910.jpg,pending,18-05-2026 17:18:54
97416b9e,DIC Mill,HSM-3,before,170.18052026172611.jpg,170.18052026172611.jpg,pending,18-05-2026 17:30:48
7eb46b0a,DIC Mill,HSM-3,before,170.18052026172611.jpg,170.18052026172611.jpg,pending,18-05-2026 17:30:50
c332648d,DIC Mill,HSM-3,after,170.1.18052026172611.jpg,170.18052026172611.jpg,pending,18-05-2026 17:30:52
69c924e9,DIC Mill,HSM-3,before,99.18052026163111.jpg,99.18052026163111.jpg,pending,18-05-2026 17:33:17
7bd79e06,DIC Mill,HSM-3,after,99.1.18052026163111.jpg,99.18052026163111.jpg,pending,18-05-2026 17:33:19
e49b5874,DIC Mill,HSM-3,before,125.18052026163423.jpg,125.18052026163423.jpg,pending,18-05-2026 17:33:28
98505719,DIC Mill,HSM-3,after,125.1.18052026163423.jpg,125.18052026163423.jpg,pending,18-05-2026 17:33:29
b9b1279a,DIC Mill,HSM-3,before,149.18052026170259.jpg,149.18052026170259.jpg,pending,19-05-2026 09:30:48
c916e39f,DIC Mill,HSM-3,after,149.1.18052026170259.jpg,149.18052026170259.jpg,pending,19-05-2026 09:30:49
94e72920,DIC Mill,HSM-3,before,99.18052026162017.jpg,99.18052026162017.jpg,pending,19-05-2026 09:31:06
77597524,DIC Mill,HSM-3,after,99.1.18052026162017.jpg,99.18052026162017.jpg,pending,19-05-2026 09:31:07
d9a4357e,Logistics,Logistics,before,1.17032026144626.jpg,1.17032026144626.jpg,pending,25-05-2026 02:09:00
5f0447b3,Logistics,Logistics,after,1.1.17032026144626.jpg,1.17032026144626.jpg,pending,25-05-2026 02:09:07
1922799b,Logistics,Logistics,before,1.17032026144644.jpg,1.17032026144644.jpg,pending,25-05-2026 02:09:11
