S #,PRODUCT,PRODUCT DESCRIPTION,Examples,photo,UOM,RMHS,PP- & OBP-1,PP-2,PP-3,SP1,"SP-2,3, 4 &5",LCP-1 TO 4,CO-3&4,CO-5,CX-1&2,BF-1&2,BF-4,BF-5,DRI,SMS-1,SMS-2,SMS-3,SMS-4,HSM-1,HSM-2,HSM-3,WRM-1 & BRM-1,WRM-2 & BRM-2,CRM-1,CRM-2,EMD,UTILITY,CMD/ISHOP/MRS,LOGISTIC,Total (months),Total (per year)
14,7100000188,SCRAPPED FLEXOWELL BELT,,,MT,0.0,0.0,0.0,0.0,0.183,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.984,311.808
15,7100000191,SCRAPPED EMPTY JUMBO BAGS (HDPE),,,MT,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.02,0.02,5.0,0.0,23.0,0.0,0.0,0.1,0.0,0.035,0.0,0.0,0.0,32.68,392.16
16,7100000193,SCRAPPED EMPTY M.S. OIL DRUMS CAP.200 LT,,,EA,90.0,20.0,90.0,100.0,1.0,10.0,2.0,0.0,20.0,0.0,0.0,20.0,1.0,6.0,100.0,50.0,2.0,20.0,0.0,394.0,8.0,20.0,50.0,320.0,0.0,0.0,0.0,10.0,0.0,1334.0,16008.0
17,7100000194,SCRAPPED EMPTY M.S. DRUMS (OPEN MOUTH),,,EA,30.0,15.0,0.0,100.0,10.0,5.0,1.0,0.0,50.0,0.0,0.0,5.0,1.0,10.0,250.0,15.0,2.0,12.0,22.0,70.0,2.0,6.0,10.0,50.0,0.0,0.0,0.0,0.0,1.0,667.0,8004.0
18,7100000197,"SCRP,SCRAPPED EMPTY PLASTIC DRUMS 200",,,EA,50.0,5.0,0.0,50.0,0.0,2.0,8.0,0.0,20.0,0.0,0.0,10.0,0.0,12.0,100.0,60.0,2.0,70.0,0.0,10.0,9.3,40.0,90.0,300.0,0.0,0.0,0.0,15.0,10.0,863.3,10359.6
19,7100000198,SCRAPPED WASTE FILTER BAGES,,,MT,1.875,0.2,0.07,350.0,0.04,0.1,3.9,0.0,1.0,0.0,0.0,0.2,9.0,0.4,1.5,2400.0,0.1,0.1,0.0,0.0,0.5700000000000001,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2769.105,33229.26
20,7100000200,SCRAPPED / Used MAGNESIA CARBON BRICKS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,216.0,0.4,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.75,6201.0
21,7100000201,S.S.SCRAP,,,MT,0.0,0.1,0.15,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.1,0.001,0.2,1.0,0.05,0.1,0.5,3.0,2.0,26.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,36.501000000000005,438.01200000000006
22,7100000215,Scrapped / Used ASC Carbon Bricks,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0,0.0,0.0,3.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.401,340.812
23,7100000216,USED OIL FILLED IN 210 LTS.BARREL,,,EA,90.0,10.0,4.0,20.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,3.0,50.0,20.0,4.0,10.0,1.0,16.0,1.0,2.0,2.0,7.0,0.0,2.0,0.0,15.0,40.0,314.0,3768.0
24,7100000217,WASTE OIL FILLED IN 210 LTS.BARREL,,,EA,30.0,5.0,0.0,15.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,8.0,2.0,2.0,50.0,0.0,4.0,1.0,1.0,13.0,1.0,2.0,3.0,6.0,0.0,7.0,0.0,0.0,40.0,206.0,2472.0
25,7100000218,WASTE OIL( A - Grade ) FILLED IN 210 LTS,,,EA,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,612.0
26,7100000220,SCRAPPED BACKUP ROLL,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.1,0.1,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,29.04
27,7100000221,SCRAPPED S.G.IRON ROLL'S,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,4.0,9.3,1.0,16.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,577.2
28,7100000224,SCRAPPED /USED GRATE BARS (Non-Magnetic),,,MT,0.0,4.0,0.0,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,126.0
29,7100000226,SCRAPED MOTORS,,,MT,0.0,0.5,0.0,0.0,0.03,0.05,0.005,0.0,3.0,0.0,0.0,0.5,0.0,0.0,2.2,0.0,0.02,0.02,0.0,0.57,0.0,0.2,0.3,0.25,0.0,0.0,0.0,0.0,0.0,7.645,91.74
30,7100000227,SCRAPPED/USED HA GROG DEBRIS BRICKS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,4.2
31,7100000302,"SCRP,COPPER, BRASS MIX TURNING SCRAP",,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,30.0
32,7100000323,GRINDING WHEELS OLD&USED,,,MT,0.1,0.0,0.008,0.01,0.0,0.001,0.0,0.0,0.2,0.0,0.0,0.1,6.0,0.01,0.0,0.0,0.01,0.01,0.2,0.35,10.0,323.0,0.5,0.05,0.0,0.0,0.05,0.0,20.0,360.5990000000001,4327.188
33,7100000361,OLD & USED TYRES WITH TUBE,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,3.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.13,73.56
34,7100000367,"SCRP,PVC CAN EMPTY ( OLD & USED)",,,EACH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.0,0.0,200.0,100.0,20.0,10.0,10.0,0.0,6.0,5.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,302.0,2854.0,34248.0
35,7100000395,USED/SCRAP BATTERIES,,,MT,0.06,0.01,0.01,0.05,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.01,0.5,0.2,0.8,0.0,0.02,0.02,0.0,3.3,0.0,0.15,0.6,0.0,0.0,0.1,0.1,0.5,0.0,7.44,89.28
36,7100000402,USED/SCRAP GRAPHITE ELECTRODE,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.04,192.48
37,7100000485,SCRAP BRASS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.001,0.01,0.02,0.02,10.0,0.11,0.1,0.2,0.0,0.0,0.0,0.0,0.05,0.002,30.0,40.5146,486.1752
38,7100000491,SCRAPPED CONVEYOR BELT (SMALL/CUT PIECE),,,MT,40.0,0.5,0.0,2.0,0.5,0.01,0.05,0.0,3.0,0.0,0.0,0.1,0.5,0.0,1.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68999999999999,572.2799999999999
39,7100000492,SCRAP / USED WASTE TARPAULIN,,,MT,29.7,0.05,0.01,0.02,0.05,0.005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.02,0.02,0.0,1.05,150.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,183.835,2206.02
40,7100000495,SCRAPPED /USED GRATE BARS (MAGNETIC),,,MT,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1500.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.64,18019.68
41,7100000504,SCRAPPED / USED CARBON REFRACTORY BLOCKS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,84.0
42,7100000505,SCRAPPED / OLD MAGNESIA CARBON BRICKS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,87.5,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.5,1770.0
43,7100000508,SCRAPPED  TUNGSTEN CARBIDE RING/ROLLS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.1,0.94,0.9,0.0,0.0,0.0,0.0,0.0,0.0,51.94,623.28
44,7100000509,SCRAPPED  TUNGSTEN CARBIDE POWDER,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,3.0,0.52,0.36,0.0,0.0,0.0,0.0,0.0,0.0,3.9,46.8
45,7100000514,SCRAPPED STEEL CORE CONVEYOR BELT(S ROLL,,,MT,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.01,0.01,60.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.11,2341.32
46,7100000596,WASTE/USED GREASE FILD IN 210 LTR BARREL,,,EA,4.0,5.0,0.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,2.0,70.0,0.0,1.0,1.0,5.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,151.0,1812.0
47,7100000692,"SCRP,SCRAP COPPER,USED AND OLD COPPER",,,MT,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.1,0.5,0.02,0.02,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85,214.2
