id,zone,dept,date,item_name,tonnage,action,status,submitted_at
290d0821,DIC Agglo,SP2345,2026-03-30,Metallic Scrap,2.29,add,rejected,06-05-2026 16:12:29
ce764b9d,DIC Agglo,SP2345,2026-03-31,Metallic Scrap,2.29,add,approved,06-05-2026 16:12:38
f1d23d0c,DIC Agglo,SP2345,2026-03-31,Metallic Scrap,6.25,add,approved,06-05-2026 16:12:47
49c1e76d,DIC Agglo,SP2345,2026-03-31,Metallic Scrap,2.14,add,approved,06-05-2026 16:12:56
677dc421,DIC Agglo,SP2345,2026-03-31,Metallic Scrap,1.71,add,approved,06-05-2026 16:13:02
60387c4f,DIC Agglo,SP2345,2026-04-03,Metallic Scrap,3.56,add,approved,06-05-2026 16:14:04
944c6096,DIC Agglo,SP2345,2026-04-04,Metallic Scrap,6.15,add,approved,06-05-2026 16:14:18
694212a4,DIC Agglo,SP2345,2026-04-04,Metallic Scrap,15.67,add,approved,06-05-2026 16:14:30
73394c9a,DIC Agglo,SP2345,2026-04-04,Metallic Scrap,9.05,add,rejected,06-05-2026 16:14:40
81bcbcac,DIC Agglo,SP2345,2026-04-04,Metallic Scrap,12.18,add,rejected,06-05-2026 16:14:47
e7970e1b,DIC Agglo,SP2345,2026-04-10,Metallic Scrap,12.18,add,approved,06-05-2026 16:16:03
88d40360,DIC Agglo,SP2345,2026-04-10,Metallic Scrap,11.18,add,approved,06-05-2026 16:16:30
f471e063,DIC Agglo,SP2345,2026-04-17,Metallic Scrap,9.05,add,approved,06-05-2026 16:16:40
31beb6d1,DIC Agglo,SP2345,2026-04-24,Metallic Scrap,5.63,add,approved,06-05-2026 16:16:50
14829939,DIC Agglo,SP2345,2026-04-27,Metallic Scrap,3.2,add,approved,06-05-2026 16:17:01
4cba932c,DIC Agglo,SP2345,2026-04-30,Metallic Scrap,7.01,add,approved,06-05-2026 16:17:10
